#1-Window 2-avg_peers 3-std_peers 4-replied_queries 5-required_queries_avg_LNUMWANT 6-monitors 7-obtained_peers 8-min_peers 9-max_peers 10-sum_peer 11-required_queries_max_LNUMWANT 12-required_queries_sum_LNUMWANT 13-peers_uniques 14-required_queries_sum_avg_peers 15-obtained_monitors 16-obtained_sentinels 17-required_queries_max_avg_peers 18-required_queries_unique_peers_avg_peers 19-required_queries_avg_L200 20-required_queries_max_L200 21-required_queries_sum_L200  22-obtained_peers_avg 23-obtained_peers_std
191 82.444444 152.829688 425 8.183633 19 7715 17 521 1484 71.209499 233.879854 274 649.666260 19 12 197.804165 94.258549 2 17 58 18.152941 11.471403
192 83.111111 157.176436 556 8.303433 23 9083 16 527 1496 72.150144 236.011952 256 737.537351 23 12 225.469199 97.989519 2 18 59 16.336331 9.679960
193 81.777778 155.834868 352 8.064076 21 5674 15 523 1472 71.522895 231.749696 261 724.217799 21 12 223.509046 100.218300 2 17 57 16.119318 9.992467
194 79.444444 150.831113 441 7.825707 23 6893 15 507 1430 69.020065 224.309657 278 747.698856 23 12 230.066884 115.029622 1 17 56 15.630385 9.864473
195 81.555556 153.130744 397 8.064076 24 6088 15 515 1468 70.270237 231.040077 193 770.133590 24 12 234.234124 75.173427 2 17 57 15.335013 8.984235
196 82.722222 154.312024 531 8.183633 23 9487 13 520 1489 71.052859 234.767993 266 690.494098 23 12 208.978998 96.426416 2 17 58 17.866290 10.163958
197 83.500000 157.005396 398 8.303433 24 7204 16 531 1503 72.778000 237.256567 278 659.046018 24 12 202.161111 95.858018 2 18 59 18.100503 10.543995
198 84.611111 159.232583 506 8.423475 23 8694 16 537 1523 73.720913 240.816190 256 708.282911 23 12 216.826214 92.225430 2 18 60 17.181818 9.765964
199 85.555556 160.117048 407 8.543754 21 7196 18 538 1540 73.878196 243.846002 269 717.194125 21 12 217.288810 97.691063 2 18 60 17.680590 9.679188
200 83.944444 160.347010 463 8.303433 23 8192 16 537 1511 73.720913 238.679781 284 701.999356 23 12 216.826214 104.043391 2 18 59 17.693305 10.942264
201 83.500000 159.955984 482 8.303433 22 8106 16 538 1503 73.878196 237.256567 286 741.426771 22 12 230.869361 111.449815 2 18 59 16.817427 10.639308
202 83.777778 164.976280 540 8.303433 22 8380 15 551 1508 75.926231 238.145976 287 793.819920 22 12 253.087437 119.362133 2 18 59 15.518519 11.511252
