#1-Window 2-avg_peers 3-std_peers 4-replied_queries 5-required_queries_avg_LNUMWANT 6-monitors 7-obtained_peers 8-min_peers 9-max_peers 10-sum_peer 11-required_queries_max_LNUMWANT 12-required_queries_sum_LNUMWANT 13-peers_uniques 14-required_queries_sum_avg_peers 15-obtained_monitors 16-obtained_sentinels 17-required_queries_max_avg_peers 18-required_queries_unique_peers_avg_peers 19-required_queries_avg_L200 20-required_queries_max_L200 21-required_queries_sum_L200  22-obtained_peers_avg 23-obtained_peers_std
275 33.714286 17.902229 233 2.698607 17 4352 15 60 236 5.615844 28.523737 54 79.232603 17 12 15.599568 13.726291 0 1 7 18.678112 17.758376
276 35.571429 15.673974 182 2.902747 13 3484 21 59 249 5.502580 30.361443 52 79.898534 13 12 14.480475 12.419910 0 1 7 19.142857 17.174330
277 38.428571 16.246821 205 3.213206 21 4558 21 65 269 6.187058 33.214961 62 75.488548 21 12 14.061496 13.280380 0 1 8 22.234146 18.918923
278 40.571429 17.508016 164 3.422834 19 4077 22 67 284 6.417732 35.374753 60 73.697402 19 12 13.370275 11.699676 0 1 8 24.859756 20.043820
279 39.857143 19.649999 209 3.317764 20 5084 19 70 279 6.765971 34.653019 64 72.193790 20 12 14.095774 12.650376 0 1 8 24.325359 20.980040
280 39.285714 18.202938 179 3.317764 14 4095 22 67 275 6.417732 34.076921 61 77.447548 14 12 14.585755 13.021459 0 1 8 22.877095 20.208314
281 39.428571 18.859307 192 3.317764 19 4478 22 68 276 6.533519 34.220837 64 74.393124 19 12 14.203303 13.200392 0 1 8 23.322917 20.417004
282 39.142857 18.893904 157 3.317764 15 4095 23 67 274 6.417732 33.933078 62 65.255919 15 12 12.341793 11.237245 0 1 8 26.082803 20.738887
283 39.714286 18.606560 206 3.317764 22 5238 22 67 278 6.417732 34.508886 64 69.017773 22 12 12.835464 12.144361 0 1 8 25.427184 20.159366
284 40.714286 18.606560 179 3.422834 17 4179 25 69 285 6.649600 35.519312 63 77.215895 17 12 14.455653 12.951337 0 1 8 23.346369 20.078968
285 40.142857 18.411398 208 3.422834 20 4867 24 68 281 6.533519 34.941499 65 75.959781 20 12 14.203303 13.450126 0 1 8 23.399038 19.510584
286 37.857143 19.467398 147 3.109174 15 4032 21 66 265 6.302244 32.641805 63 60.447787 15 12 11.670822 11.032620 0 1 8 27.428571 20.073674
287 38.857143 18.419156 202 3.213206 18 4951 23 67 272 6.417732 33.645610 64 70.095022 18 12 13.370275 12.650376 0 1 8 24.509901 19.585113
288 39.285714 20.239384 155 3.317764 19 4128 19 69 275 6.649600 34.076921 63 65.532541 19 12 12.787693 11.456952 0 1 8 26.632258 20.855268
289 40.285714 18.195088 211 3.422834 20 4853 22 68 282 6.533519 35.085846 66 76.273579 20 12 14.203303 13.700530 0 1 8 23.000000 19.723924
290 37.285714 18.351444 154 3.109174 15 3764 20 63 261 5.957615 32.069856 61 66.812200 15 12 12.411698 11.936337 0 1 8 24.441558 20.232412
291 37.714286 18.436875 206 3.109174 21 4426 21 64 264 6.072180 32.498704 60 77.377866 21 12 14.457572 13.371058 0 1 8 21.485437 18.640370
292 39.285714 18.234303 160 3.317764 19 3611 21 66 275 6.302244 34.076921 58 77.447548 19 12 14.323281 12.249217 0 1 8 22.568750 20.886485
