#1-Window 2-avg_peers 3-std_peers 4-replied_queries 5-required_queries_avg_LNUMWANT 6-monitors 7-obtained_peers 8-min_peers 9-max_peers 10-sum_peer 11-required_queries_max_LNUMWANT 12-required_queries_sum_LNUMWANT 13-peers_uniques 14-required_queries_sum_avg_peers 15-obtained_monitors 16-obtained_sentinels 17-required_queries_max_avg_peers 18-required_queries_unique_peers_avg_peers 19-required_queries_avg_L200 20-required_queries_max_L200 21-required_queries_sum_L200  22-obtained_peers_avg 23-obtained_peers_std
122 1218.000000 1379.691834 531 187.147931 23 71284 0 3411 21924 594.341033 4635.862983 4026 1632.346121 23 12 209.275012 251.706327 46 148 1158 142.568000 55.690945
123 1220.833333 1380.324529 421 187.495251 23 58891 0 3415 21975 595.118038 4647.668172 3849 1613.773671 23 11 206.638208 236.096436 46 148 1161 144.340686 54.013335
124 1230.222222 1385.239312 505 189.232832 23 69002 0 3423 22144 596.672329 4686.804218 3954 1638.742734 23 12 208.626688 244.977262 47 149 1171 143.157676 55.009618
125 1231.555556 1381.550869 440 189.406680 24 61027 0 3404 22168 592.981500 4692.364096 3887 1618.056585 24 12 204.476379 237.046342 47 148 1173 145.649165 55.462160
126 1242.055556 1398.784809 541 191.320076 23 75796 0 3452 22357 602.309762 4736.166251 4115 1633.160776 23 12 207.693021 252.568236 47 150 1184 145.203065 54.499613
127 1236.777778 1399.754604 421 190.276163 22 57793 0 3452 22262 602.309762 4714.145284 3871 1683.623316 22 12 215.110629 244.387649 47 150 1178 140.958537 55.746296
128 1237.277778 1404.484437 512 190.450108 20 67478 0 3438 22271 599.587632 4716.231133 3968 1696.486019 20 12 215.679004 253.020209 47 149 1179 139.129897 55.727260
129 1245.055556 1412.105381 450 191.842250 22 60960 0 3459 22411 603.671253 4748.687033 3961 1683.931572 22 12 214.067820 248.941650 47 150 1187 141.767442 55.770183
130 1252.055556 1423.349823 519 193.061218 21 68775 0 3464 22537 604.643921 4777.912302 4010 1718.673490 21 12 217.497813 256.002060 48 151 1194 139.220648 54.971965
131 1239.166667 1412.803330 437 190.798047 26 58921 0 3452 22305 602.309762 4724.111666 3928 1724.128345 26 12 219.821081 253.835635 47 150 1181 137.988290 56.570839
